IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.172.95,80,false,SIN,Asia Pacific,Singapore,282 ms,4996 kB/s
8.219.147.58,8080,false,SIN,Asia Pacific,Singapore,269 ms,4985 kB/s
47.236.118.216,8880,false,SIN,Asia Pacific,Singapore,275 ms,4985 kB/s
8.218.18.235,80,false,HKG,Asia Pacific,Hong Kong,63 ms,4969 kB/s
47.237.95.13,2052,false,SIN,Asia Pacific,Singapore,271 ms,4969 kB/s
47.236.189.92,8080,false,SIN,Asia Pacific,Singapore,281 ms,4949 kB/s
47.237.14.220,8880,false,SIN,Asia Pacific,Singapore,285 ms,4945 kB/s
47.236.170.54,80,false,SIN,Asia Pacific,Singapore,272 ms,4942 kB/s
47.236.121.23,2082,false,SIN,Asia Pacific,Singapore,284 ms,4933 kB/s
8.217.145.40,2082,false,HKG,Asia Pacific,Hong Kong,62 ms,4932 kB/s
47.236.118.216,2086,false,SIN,Asia Pacific,Singapore,293 ms,4919 kB/s
8.219.201.245,2086,false,SIN,Asia Pacific,Singapore,284 ms,4919 kB/s
47.236.232.148,2095,false,SIN,Asia Pacific,Singapore,287 ms,4917 kB/s
8.222.164.209,2082,false,SIN,Asia Pacific,Singapore,276 ms,4917 kB/s
47.236.130.95,8880,false,SIN,Asia Pacific,Singapore,274 ms,4908 kB/s
8.219.200.145,80,false,SIN,Asia Pacific,Singapore,271 ms,4894 kB/s
47.236.172.95,2095,false,SIN,Asia Pacific,Singapore,277 ms,4869 kB/s
47.236.93.176,2052,false,SIN,Asia Pacific,Singapore,288 ms,4868 kB/s
47.236.166.131,8880,false,SIN,Asia Pacific,Singapore,280 ms,4837 kB/s
47.236.83.239,2052,false,SIN,Asia Pacific,Singapore,274 ms,4830 kB/s
47.237.81.112,8880,false,SIN,Asia Pacific,Singapore,273 ms,4824 kB/s
8.219.6.150,2082,false,SIN,Asia Pacific,Singapore,271 ms,4823 kB/s
47.236.169.141,80,false,SIN,Asia Pacific,Singapore,282 ms,4819 kB/s
47.236.165.25,80,false,SIN,Asia Pacific,Singapore,272 ms,4816 kB/s
47.236.149.107,2086,false,SIN,Asia Pacific,Singapore,284 ms,4813 kB/s
47.242.59.216,2082,false,HKG,Asia Pacific,Hong Kong,67 ms,4804 kB/s
47.236.169.141,2086,false,SIN,Asia Pacific,Singapore,283 ms,4802 kB/s
47.236.117.48,2082,false,SIN,Asia Pacific,Singapore,266 ms,4797 kB/s
47.236.172.95,2052,false,SIN,Asia Pacific,Singapore,272 ms,4786 kB/s
47.237.83.20,2086,false,SIN,Asia Pacific,Singapore,269 ms,4786 kB/s
47.236.97.90,2052,false,SIN,Asia Pacific,Singapore,270 ms,4766 kB/s
8.222.164.209,80,false,SIN,Asia Pacific,Singapore,281 ms,4766 kB/s
47.236.205.188,80,false,SIN,Asia Pacific,Singapore,272 ms,4762 kB/s
47.236.75.113,80,false,SIN,Asia Pacific,Singapore,275 ms,4759 kB/s
47.236.189.92,2052,false,SIN,Asia Pacific,Singapore,282 ms,4757 kB/s
47.238.6.102,8080,false,HKG,Asia Pacific,Hong Kong,58 ms,4753 kB/s
47.236.104.11,2086,false,SIN,Asia Pacific,Singapore,291 ms,4749 kB/s
47.236.168.17,80,false,SIN,Asia Pacific,Singapore,278 ms,4739 kB/s
47.236.174.206,2086,false,SIN,Asia Pacific,Singapore,285 ms,4720 kB/s
47.237.14.220,8080,false,SIN,Asia Pacific,Singapore,292 ms,4717 kB/s
8.219.83.71,2052,false,SIN,Asia Pacific,Singapore,282 ms,4714 kB/s
47.236.169.141,2052,false,SIN,Asia Pacific,Singapore,277 ms,4709 kB/s
8.218.174.118,2095,false,HKG,Asia Pacific,Hong Kong,66 ms,4707 kB/s
47.236.169.141,8080,false,SIN,Asia Pacific,Singapore,271 ms,4707 kB/s
8.222.136.247,2095,false,SIN,Asia Pacific,Singapore,286 ms,4688 kB/s
47.237.92.26,2095,false,SIN,Asia Pacific,Singapore,279 ms,4687 kB/s
47.236.165.25,2095,false,SIN,Asia Pacific,Singapore,277 ms,4684 kB/s
47.236.164.215,8880,false,SIN,Asia Pacific,Singapore,275 ms,4677 kB/s
47.236.9.152,8880,false,SIN,Asia Pacific,Singapore,271 ms,4675 kB/s
47.236.144.196,2095,false,SIN,Asia Pacific,Singapore,280 ms,4674 kB/s
8.219.93.5,2052,false,SIN,Asia Pacific,Singapore,272 ms,4670 kB/s
47.236.145.85,8080,false,SIN,Asia Pacific,Singapore,272 ms,4668 kB/s
47.236.75.113,2082,false,SIN,Asia Pacific,Singapore,272 ms,4666 kB/s
47.236.144.208,2082,false,SIN,Asia Pacific,Singapore,280 ms,4660 kB/s
47.236.170.225,8880,false,SIN,Asia Pacific,Singapore,270 ms,4659 kB/s
47.237.92.26,2086,false,SIN,Asia Pacific,Singapore,279 ms,4657 kB/s
8.219.86.200,8080,false,SIN,Asia Pacific,Singapore,275 ms,4646 kB/s
47.238.6.102,2082,false,HKG,Asia Pacific,Hong Kong,65 ms,4638 kB/s
47.236.205.188,2086,false,SIN,Asia Pacific,Singapore,279 ms,4636 kB/s
8.219.201.245,2052,false,SIN,Asia Pacific,Singapore,273 ms,4636 kB/s
8.218.18.132,2095,false,HKG,Asia Pacific,Hong Kong,64 ms,4621 kB/s
8.219.126.240,2052,false,SIN,Asia Pacific,Singapore,284 ms,4619 kB/s
47.236.166.131,2095,false,SIN,Asia Pacific,Singapore,272 ms,4614 kB/s
47.237.14.220,2052,false,SIN,Asia Pacific,Singapore,274 ms,4601 kB/s
47.236.172.71,8080,false,SIN,Asia Pacific,Singapore,285 ms,4587 kB/s
47.237.95.13,2086,false,SIN,Asia Pacific,Singapore,288 ms,4587 kB/s
47.238.6.102,8880,false,HKG,Asia Pacific,Hong Kong,66 ms,4586 kB/s
47.236.171.205,2086,false,SIN,Asia Pacific,Singapore,267 ms,4582 kB/s
47.237.100.206,8880,false,SIN,Asia Pacific,Singapore,275 ms,4580 kB/s
47.237.81.112,2082,false,SIN,Asia Pacific,Singapore,282 ms,4575 kB/s
47.236.169.15,2052,false,SIN,Asia Pacific,Singapore,265 ms,4575 kB/s
47.236.166.131,2082,false,SIN,Asia Pacific,Singapore,283 ms,4574 kB/s
47.237.92.26,2082,false,SIN,Asia Pacific,Singapore,272 ms,4574 kB/s
47.236.145.85,80,false,SIN,Asia Pacific,Singapore,270 ms,4567 kB/s
47.236.9.152,2082,false,SIN,Asia Pacific,Singapore,272 ms,4556 kB/s
47.236.17.193,8080,false,SIN,Asia Pacific,Singapore,286 ms,4549 kB/s
8.219.93.5,2082,false,SIN,Asia Pacific,Singapore,275 ms,4548 kB/s
8.218.174.118,2086,false,HKG,Asia Pacific,Hong Kong,63 ms,4541 kB/s
8.219.126.240,8080,false,SIN,Asia Pacific,Singapore,275 ms,4541 kB/s
47.236.150.13,80,false,SIN,Asia Pacific,Singapore,288 ms,4540 kB/s
8.218.74.119,8080,false,HKG,Asia Pacific,Hong Kong,72 ms,4539 kB/s
47.236.254.120,2095,false,SIN,Asia Pacific,Singapore,265 ms,4538 kB/s
47.236.170.54,8080,false,SIN,Asia Pacific,Singapore,289 ms,4537 kB/s
8.219.200.145,2095,false,SIN,Asia Pacific,Singapore,267 ms,4528 kB/s
47.236.144.208,2086,false,SIN,Asia Pacific,Singapore,275 ms,4527 kB/s
47.236.123.133,8880,false,SIN,Asia Pacific,Singapore,275 ms,4515 kB/s
47.238.40.58,8080,false,HKG,Asia Pacific,Hong Kong,61 ms,4510 kB/s
47.236.97.90,2095,false,SIN,Asia Pacific,Singapore,277 ms,4508 kB/s
47.236.254.120,2086,false,SIN,Asia Pacific,Singapore,279 ms,4503 kB/s
47.236.5.223,2086,false,SIN,Asia Pacific,Singapore,272 ms,4502 kB/s
47.236.17.193,2086,false,SIN,Asia Pacific,Singapore,268 ms,4500 kB/s
47.237.86.185,2082,false,SIN,Asia Pacific,Singapore,281 ms,4498 kB/s
47.236.104.11,8880,false,SIN,Asia Pacific,Singapore,276 ms,4495 kB/s
8.210.164.75,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,4494 kB/s
8.222.136.247,80,false,SIN,Asia Pacific,Singapore,276 ms,4492 kB/s
47.236.121.23,2086,false,SIN,Asia Pacific,Singapore,277 ms,4489 kB/s
47.236.10.100,8080,false,SIN,Asia Pacific,Singapore,292 ms,4489 kB/s
47.236.75.113,2095,false,SIN,Asia Pacific,Singapore,284 ms,4488 kB/s
47.237.0.31,8080,false,SIN,Asia Pacific,Singapore,275 ms,4487 kB/s
47.236.169.141,2095,false,SIN,Asia Pacific,Singapore,267 ms,4485 kB/s
47.236.169.15,2086,false,SIN,Asia Pacific,Singapore,273 ms,4478 kB/s
47.236.180.24,80,false,SIN,Asia Pacific,Singapore,285 ms,4477 kB/s
8.218.3.198,2086,false,HKG,Asia Pacific,Hong Kong,65 ms,4476 kB/s
8.217.251.62,80,false,HKG,Asia Pacific,Hong Kong,64 ms,4476 kB/s
47.237.86.185,8080,false,SIN,Asia Pacific,Singapore,268 ms,4473 kB/s
47.236.83.239,80,false,SIN,Asia Pacific,Singapore,281 ms,4469 kB/s
8.219.117.198,8080,false,SIN,Asia Pacific,Singapore,269 ms,4467 kB/s
47.237.82.15,80,false,SIN,Asia Pacific,Singapore,273 ms,4454 kB/s
